ImageId,EncodedPixels
519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0,57097 3 57347 12 57602 13 57857 14 58113 15 58369 15 58625 16 58881 16 59137 16 59393 15 59649 15 59905 14 60161 12 60417 10 60673 9 60930 6 61187 4
519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0,33041 1 33294 9 33549 10 33805 11 34061 12 34317 12 34573 11 34829 10 35086 9
519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0,25655 6 25910 8 26165 10 26421 10 26677 11 26933 12 27189 12 27445 12 27701 12 27957 11 28214 9 28471 8 28731 1
519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0,28781 7 29036 9 29290 14 29545 16 29801 17 30057 18 30313 18 30570 17 30826 17 31083 16 31339 16 31596 15 31854 11 32112 8
519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0,62061 12 62317 13 62571 16 62827 17 63083 17 63339 17 63595 17 63851 16 64107 16 64364 14 64623 8 64881 2
519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0,51834 10 52089 12 52343 14 52599 15 52854 17 53109 18 53365 18 53621 17 53878 15 54134 15 54391 12 54648 10
519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0,18042 9 18297 12 18551 16 18807 17 19062 19 19318 19 19575 19 19831 19 20088 18 20344 18 20601 16 20857 16 21114 13 21372 10
519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0,42114 10 42369 13 42623 19 42879 20 43135 22 43390 23 43646 24 43902 25 44159 24 44415 24 44671 24 44928 23 45185 21 45442 19 45700 13 45957 10
519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0,4266 8 4521 10 4775 14 5031 15 5286 17 5541 19 5797 20 6053 21 6309 22 6565 22 6821 22 7078 21 7334 22 7591 21 7848 20 8105 19 8362 18 8619 18 8876 16 9133 15 9394 9 9652 6
519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0,5058 3 5313 6 5569 6 5825 7 6081 7 6337 7 6593 7 6849 7 7106 5 7363 3
519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0,64467 6 64721 12 64977 13 65232 15 65489 13
44afae184c89e6ba55985b4d341acc1ae1e8b6ef96312064e0e6e630e022b078,208394 6 208904 9 209413 14 209923 17 210434 19 210475 1 210946 19 210986 5 211458 20 211496 10 211970 20 212007 13 212481 22 212518 16 212993 23 213029 19 213505 23 213541 19 214017 24 214052 21 214529 24 214564 22 215041 25 215075 25 215553 26 215587 26 216065 27 216098 28 216577 27 216610 28 217089 28 217122 29 217601 28 217634 30 218113 29 218145 32 218625 29 218657 33 219137 29 219168 34 219649 64 220161 64 220673 64 221185 64 221697 64 222209 64 222721 64 223233 64 223745 64 224257 63 224769 63 225281 63 225793 63 226305 41 226347 21 226817 40 226860 20 227329 63 227841 63 228353 63 228865 62 229377 62 229889 62 230401 61 230913 61 231425 61 231937 60 232449 60 232961 60 233473 59 233985 59 234497 58 235009 58 235521 57 236033 26 236065 25 236545 22 236580 21 237058 19 237093 19 237570 18 237606 18 238082 16 238119 16 238594 14 238633 13 239107 3 239148 8
44afae184c89e6ba55985b4d341acc1ae1e8b6ef96312064e0e6e630e022b078,319007 7 319516 11 320026 14 320536 17 321047 19 321557 22 322068 24 322580 24 323091 25 323602 27 324113 28 324625 28 325136 29 325648 29 326159 29 326670 30 327182 30 327693 30 328205 29 328716 29 329228 27 329739 27 330250 27 330762 26 331273 26 331785 25 332297 23 332808 24 333320 23 333832 22 334343 23 334855 22 335366 23 335878 22 336390 22 336902 22 337414 22 337926 22 338438 21 338950 21 339461 22 339973 21 340484 22 340996 21 341508 21 342020 21 342532 22 343044 22 343556 22 344068 22 344580 22 345092 23 345604 23 346116 23 346629 22 347144 17
44afae184c89e6ba55985b4d341acc1ae1e8b6ef96312064e0e6e630e022b078,15 11 521 20 1031 23 1543 23 2055 23 2567 23 3079 23 3592 22 4104 22 4616 22 5128 22 5641 21 6153 21 6665 22 7177 22 7689 22 8201 22 8713 22 9225 23 9737 23 10249 22 10761 22 11273 22 11785 22 12297 22 12809 21 13321 21 13833 20 14345 20 14857 20 15369 19 15881 19 16393 19 16905 18 17417 18 17929 17 18441 17 18953 17 19466 16 19978 16 20490 15 21002 15 21514 15 22026 15 22539 13 23051 13 23564 11 24078 7
44afae184c89e6ba55985b4d341acc1ae1e8b6ef96312064e0e6e630e022b078,258091 5 258600 12 259105 20 259614 24 260126 25 260638 26 261151 25 261663 26 262176 25 262688 26 263200 26 263713 25 264218 1 264225 25 264728 4 264738 25 265239 5 265250 25 265752 4 265762 25 266265 2 266274 26 266778 1 266786 26 267290 1 267298 26 267802 2 267810 26 268312 5 268320 28 268824 36 269335 37 269847 37 270359 37 270871 36 271383 36 271894 36 272406 36 272918 35 273430 35 273942 34 274455 32 274967 31 275479 30 275991 30 276504 28 277017 26 277529 25 278042 23 278554 22 279067 21 279581 16 280098 4
44afae184c89e6ba55985b4d341acc1ae1e8b6ef96312064e0e6e630e022b078,301121 4 301630 9 302139 13 302649 16 303160 18 303670 20 304181 22 304691 24 305201 26 305712 28 306224 27 306735 28 307246 29 307757 29 308268 30 308780 29 309292 29 309804 28 310317 26 310829 25 311341 24 311855 21 312369 15 312885 5
44afae184c89e6ba55985b4d341acc1ae1e8b6ef96312064e0e6e630e022b078,193612 5 194122 9 194634 10 195145 12 195656 15 196168 16 196679 17 197190 19 197702 19 198214 20 198725 21 199237 21 199748 23 200260 23 200772 23 201284 23 201795 25 202307 25 202819 25 203331 25 203843 25 204354 26 204866 26 205378 26 205891 25 206403 25 206915 25 207428 24 207940 24 208452 24 208964 23 209477 22 209989 21 210501 21 211013 21 211525 20 212037 20 212549 20 213061 20 213573 19 214085 19 214597 18 215109 17 215621 16 216133 16 216645 15 217157 15 217669 14 218181 13 218693 12 219206 10 219721 6
44afae184c89e6ba55985b4d341acc1ae1e8b6ef96312064e0e6e630e022b078,275036 18 275546 21 276057 23 276568 25 277079 27 277591 28 278102 30 278614 30 279125 31 279637 31 280149 31 280661 31 281172 32 281684 32 282196 32 282709 30 283221 29 283733 28 284245 28 284758 26 285270 24 285784 19 286297 16 286809 15 287322 12 287839 2
44afae184c89e6ba55985b4d341acc1ae1e8b6ef96312064e0e6e630e022b078,175230 3 175740 8 176250 13 176761 17 177272 20 177783 22 178294 24 178806 25 179317 27 179809 7 179829 28 180319 12 180340 30 180830 15 180851 32 181341 54 181853 55 182364 57 182876 58 183387 60 183899 61 184411 62 184923 63 185434 65 185946 66 186458 67 186971 66 187483 67 187995 68 188507 69 189020 69 189532 69 190045 68 190558 67 191070 67 191583 66 192096 65 192608 65 193121 64 193633 31 193668 28 194145 30 194181 27 194658 28 194694 26 195171 26 195208 24 195685 23 195721 23 196198 22 196235 21 196712 19 196748 19 197225 17 197261 18 197738 14 197775 14 198258 1
44afae184c89e6ba55985b4d341acc1ae1e8b6ef96312064e0e6e630e022b078,229514 8 230024 12 230534 15 231042 20 231550 26 232058 30 232569 32 233079 34 233587 38 234096 41 234604 45 235114 48 235624 49 236134 50 236645 50 237156 49 237667 47 238178 43 238690 39 239202 37 239713 37 240225 36 240737 36 241249 36 241761 36 242273 35 242786 34 243298 34 243810 34 244323 33 244836 31 245349 30 245861 30 246374 28 246886 28 247400 25 247914 23 248427 21 248940 20 249453 17 249967 13 250486 1
44afae184c89e6ba55985b4d341acc1ae1e8b6ef96312064e0e6e630e022b078,103 5 613 10 1123 13 1636 12 2148 12 2660 12 3172 12 3685 11 4197 11 4710 9 5222 8 5736 5 6249 3
44afae184c89e6ba55985b4d341acc1ae1e8b6ef96312064e0e6e630e022b078,285842 6 286351 9 286861 12 287371 15 287881 18 288391 21 288901 24 289412 25 289924 25 290435 27 290946 28 291457 30 291968 32 292479 33 292990 33 293501 34 294013 33 294524 34 295036 34 295547 34 296058 35 296570 34 297082 34 297593 35 298105 34 298617 33 299129 33 299640 33 300152 33 300664 33 301176 32 301688 32 302200 31 302712 31 303224 30 303736 30 304248 29 304761 28 305273 27 305785 27 306297 26 306809 25 307321 23 307834 20 308346 20 308859 18 309372 16 309885 13 310399 8 310914 2
44afae184c89e6ba55985b4d341acc1ae1e8b6ef96312064e0e6e630e022b078,264347 7 264857 12 265367 15 265878 17 266387 21 266897 25 267408 27 267920 27 268431 28 268943 29 269454 30 269966 30 270478 30 270990 30 271502 30 272014 30 272526 31 273038 31 273550 31 274063 30 274575 30 275087 30 275599 30 276112 28 276624 28 277137 26 277649 25 278162 24 278674 23 279187 21 279700 19 280213 13 280726 8 281239 6 281752 4
